,Description,People When Accepted,Money When Accepted,Environment When Accepted,People When Declined,Money When Declined,Environment When Declined
1,"Ludzie nie chcą oglądać telewizji państwowej.

Czy mamy zwiększyć jej budżet?",0,-2,0,1,1,0
2,"Wybucha epidemia! 

Zakazać mówienia o tym?",-2,-1,2,0,-1,0
3,"Jest szansa na organizację olimpiady w Stolicy.

Powinniśmy to zrobić?",3,-1,-1,-1,0,0
4,"Astrologowie ogłaszają miesiąć mocherów. Ich populacja zwiększa się.

Rekrutować?",2,-1,0,-1,0,0
5,"Tik-tok jest popularny wśród młodych wyborców.

Robimy filmik?",-1,-1,0,1,0,0
6,"Smog przesłania słońce od tygodnia.

Zakazać palenia opon w piecach?",-1,-1,2,2,0,-2
7,"Zenek z Boysów chce ruszyć z nami w kampanię wyborczą.

Zgadzamy się na to?",2,-1,0,2,0,0
8,"USA chce założyć u nas polskie obozy śmierci.

Zgadzamy się?",-1,3,0,0,0,1
9,"Spada poparcie u wyedukowanej części populacji.

Zamknąć szkoły?",2,2,-1,0,1,1
10,"Większe zło, czy mniesze? 

Powinniśmy wybrać?",-2,1,1,-2,-1,2
11,"Taksówkarze strajkują.

Powinniśmy użyć wojska?",-2,0,0,1,1,0
12,"Prezydent Rosji odwiedza nas jutro.

Szykować sztuczną mgłę i stalowe sosny?",1,1,-1,1,1,1
13,"Po stolicy krąży seryjny zabójca.

Ostrzec ludzi?",2,0,0,-1,0,1
14,"Wieśniacy czczą Cię jako bóstwo.

Podnieść im podatki?",0,3,0,1,0,0
15,"Ludzie porzucają szczepionki.

Edukować?",1,0,1,-2,-1,2
16,"Jaśnie panie, masz raka.

Dać datek na kościół?",-1,-1,0,1,1,0
17,"Kosmici z Ciemnej Strony Słońca wysłali delegację.

Przyjąć ich?",-2,2,-2,-1,-1,0
18,"Kasztany zakwitły przedwcześnie.

Czy wyciąć kasztanowce, aby pomóc maturzystom?",2,-1,-2,1,1,2
19,"Reżyser Vege chce zrobić film o Tobie jako gwieździe rocka.

Zgadzasz się?",-1,2,-1,1,0,1
20,"Ministerstwo do spraw równości psów z kotami chce więcej pieniędzy.

Dać im?",-1,-1,1,1,1,-1
21,"W parku narodowym odkryto ropę.

Rozpoczynać odwierty?",0,3,-3,0,-1,1
22,"Ludzie z głodu zaczynają zjadać korę z drzew.

Zwiększyć socjal?",2,-2,2,-2,0,-1
23,"Pato-streamerzy tworzą własną partię.

Disować ich?",1,1,0,1,1,0
24,"Sosnowiec ogłasza się wolnym miastem.

Wysyłać wojsko?",-2,-3,-2,2,2,1
25,"Alergicy wypalaja trawy i zborza.

Powstrzymać ich?",-1,1,3,1,-1,-2
26,"Chiny chcą otworzyć u nas fabrykę Apple.

Zgadzamy się?",1,2,-1,-1,0,0
27,"Tsunami pędzi w naszą stronę.

Złożyć dziewicę w ofierze?",2,0,2,-2,1,-1
28,"San Escobar proponuje nam unię personalną.

Zgadzamy się?",-1,1,2,0,1,-1
29,"Minister Środowiska zastrzelił na polowaniu Ministra Finansów.

Zwolnić go?",1,1,-1,-1,0,1
30,"Ministerstwo głupich kroków wprowadziło zakaz skakania na jednej nodze.

Potępić?",-1,-1,1,1,1,-1
31,"Madki rządają więcej piniency! 

Dać im?",1,-1,0,-1,0,0
32,"Leśne wróżki nie chcą oddać swoich działek pod budowę szpitala.

Stanąć po ich stronie?",-1,0,2,1,0,-1
33,"Możemy użyć 5G do kontroli umysłów ludzi.

Uruchamiamy sieć?",2,2,0,-1,-1,0
34,"Bobry zbudowały tamę, która zagraża rolnikom z Podlasia.

Wysadzić tamę w powietrze?",2,0,-2,-2,0,2
35,"Nadchodzą wybory, a skarbiec pusty.

Zabrać pieniądze emerytom i przeznaczyć je na kampanię?",-1,2,0,2,-1,0
36,"Małe przedsiębiorstwa upadaja, ale nie strajkują.

Wesprzeć ich?",-1,-2,0,1,-1,0
37,"W stolicy brakuje pracowników.

Zrzucić winę na wschodnich sąsiadów?",1,-1,0,-1,1,0

